,Title,Website,Github,Gitlab,Hugging Face,Package,Slack
71,RG-Flow,,https://github.com/hongyehu/RG-Flow,,,,
72,AI Fairness 360 (AIF360),,https://github.com/Trusted-AI/AIF360,,,,
73,Phoebe,,https://github.com/SUSE/phoebe,,,,
74,Resources on fairness,,https://github.com/datamllab/awesome-fairness-in-ai,,,,
75,gpt4all,,https://github.com/nomic-ai/gpt4all,,,,
76,Gender Detection,,https://github.com/davidemiceli/gender-detection,,,,
77,GerryFair,,https://github.com/algowatchpenn/GerryFair,,,,
78,gobrain,,https://github.com/goml/gobrain,,,,
79,Fairness Flow,https://ai.facebook.com/blog/how-were-using-fairness-flow-to-help-build-ai-that-works-better-for-everyone,,,,,
80,gensim,,https://github.com/piskvorky/gensim,,,,
81,gam-changer,,https://github.com/interpretml/gam-changer,,,,
82,foolbox,,https://github.com/bethgelab/foolbox,,,,
83,flexgen,,https://github.com/FMInference/FlexGen,,,,
84,gluon-api,,https://github.com/gluon-api/gluon-api,,,,
85,Themis ML,,https://github.com/cosmicBboy/themis-ml,,,,
86,finrl,,https://github.com/AI4Finance-Foundation/FinRL,,,,
87,fastshap,,https://github.com/bgreenwell/fastshap,,,,
88,fairness-indicators,,https://github.com/tensorflow/fairness-indicators,,,,
89,Fairlearn,,https://github.com/fairlearn/fairlearn,,,,
90,facets,,https://github.com/PAIR-code/facets,,,,
91,Fairness in Machine Learning,,https://github.com/equialgo/fairness-in-ml,,,,
92,torchtest,,https://github.com/suriyadeepan/torchtest,,,,
93,evolutionary-algorithm,,https://github.com/MorvanZhou/Evolutionary-Algorithm,,,,
94,gluon-api,,https://github.com/gluon-api/gluon-api,,,,
95,"FAT Forensics: Algorithmic Fairness, Accountability and Transparency Toolbox",,https://github.com/fat-forensics/fat-forensics,,,,
96,Grasp,,https://github.com/textgain/grasp,,,,
97,Dopamine,,https://github.com/google/dopamine,,,,
98,docs,,https://github.com/tensorflow/docs,,,,
99,docker-stacks,,https://github.com/jupyter/docker-stacks,,,,
100,dlib,,https://github.com/davisking/dlib,,,,
101,Shapley Explanation Networks,,https://github.com/inouye-lab/ShapleyExplanationNetworks,,,,
102,deeplearningfornlpinpytorch,,https://github.com/rguthrie3/DeepLearningForNLPInPytorch,,,,
103,deeplearningexamples,,https://github.com/NVIDIA/DeepLearningExamples,,,,
104,deep-tutorials-for-pytorch,,https://github.com/sgrvinod/Deep-Tutorials-for-PyTorch,,,,
105,dac-label-noise,,https://github.com/thulas/dac-label-noise,,,,
106,cookiecutter-data-science,,https://github.com/drivendata/cookiecutter-data-science,,,,
107,chainer,,https://github.com/chainer/chainer,,,,
108,basic_reinforcement_learning,,https://github.com/vmayoral/basic_reinforcement_learning,,,,
109,awesome-document-understanding,,https://github.com/tstanislawek/awesome-document-understanding,,,,
110,FairMLHealth,,https://github.com/KenSciResearch/fairMLHealth,,,,
111,awesome-capsule-networks,,https://github.com/sekwiatkowski/awesome-capsule-networks,,,,
112,auto-sklearn,,https://github.com/automl/auto-sklearn,,,,
113,augmix_tf2,,https://github.com/AakashKumarNain/AugMix_TF2,,,,
114,artificial-life-simulator,,https://github.com/BLayman/Artificial-Life-Simulator,,,,
115,androidtensorflowmachinelearningexample,,https://github.com/amitshekhariitbhu/AndroidTensorFlowMachineLearningExample,,,,
116,android-tensorflow-lite-example,,https://github.com/amitshekhariitbhu/Android-TensorFlow-Lite-Example,,,,
117,Bias Mitigation of predictive models using AI fairness 360 toolkit,,http://github.com/IBM/bias-mitigation-of-machine-learning-models-using-aif360,,,,
118,Responsible use of AI for public policy: Data science toolkit,https://publications.iadb.org/en/responsible-use-ai-public-policy-data-science-toolkit,https://github.com/EL-BID/Manual-IA-Responsable/,,,,
119,XAI - An eXplainability toolbox for machine learning,,https://github.com/EthicalML/xai,,,,
120,See RNN,,https://github.com/OverLordGoldDragon/see-rnn,,,,
